,STATION,WEEKDAY,HOUR,PEOPLE
2478,34 ST-PENN STA,0,0,24355.0
14658,TIMES SQ-42 ST,0,0,21392.0
2730,42 ST-PORT AUTH,0,0,20288.5
2394,34 ST-HERALD SQ,0,0,15167.75
9618,GRD CNTRL-42 ST,0,0,12772.75
378,125 ST,0,0,12146.5
588,14 ST-UNION SQ,0,0,11480.5
10668,JOURNAL SQUARE,0,0,10459.25
13062,PATH NEW WTC,0,0,9568.5
8946,FLUSHING-MAIN,0,0,9443.75
3444,59 ST COLUMBUS,0,0,9359.5
9324,FULTON ST,0,0,8894.0
10626,JKSN HT-ROOSVLT,0,0,8667.5
7098,CANAL ST,0,0,8554.25
1848,23 ST,0,0,8120.0
4452,86 ST,0,0,7754.5
3150,50 ST,0,0,7173.25
3402,59 ST,0,0,6972.5
546,14 ST,0,0,6963.75
15078,W 4 ST-WASH SQ,0,0,6660.0
10669,JOURNAL SQUARE,0,4,7785.75
2731,42 ST-PORT AUTH,0,4,6591.0
2479,34 ST-PENN STA,0,4,5458.0
14659,TIMES SQ-42 ST,0,4,4108.75
379,125 ST,0,4,2571.5
10627,JKSN HT-ROOSVLT,0,4,2188.5
13063,PATH NEW WTC,0,4,2183.75
2395,34 ST-HERALD SQ,0,4,2106.25
9619,GRD CNTRL-42 ST,0,4,1824.25
631,145 ST,0,4,1724.5
9325,FULTON ST,0,4,1700.0
8947,FLUSHING-MAIN,0,4,1594.75
589,14 ST-UNION SQ,0,4,1521.0
3445,59 ST COLUMBUS,0,4,1404.75
3151,50 ST,0,4,1379.25
3403,59 ST,0,4,1367.75
7099,CANAL ST,0,4,1300.0
10417,JAMAICA CENTER,0,4,1299.25
547,14 ST,0,4,1293.25
10711,JUNCTION BLVD,0,4,1250.5
9620,GRD CNTRL-42 ST,0,8,36263.0
2480,34 ST-PENN STA,0,8,20817.0
590,14 ST-UNION SQ,0,8,20198.25
9326,FULTON ST,0,8,19751.5
380,125 ST,0,8,18241.25
2732,42 ST-PORT AUTH,0,8,16638.0
1850,23 ST,0,8,15592.75
4664,96 ST,0,8,15488.5
4454,86 ST,0,8,14658.25
10670,JOURNAL SQUARE,0,8,13478.0
2396,34 ST-HERALD SQ,0,8,13252.5
8948,FLUSHING-MAIN,0,8,12949.0
3824,7 AV,0,8,11843.0
