STATION,COORDS
125 ST,"40.804638, -73.937483"
14 ST,"40.739779, 74.002533"
14 ST-UNION SQ,"40.735039, -73.990763"
145 ST,"40.825080, -73.944612"
161/YANKEE STAD,"40.825775, -73.929626"
23 ST,"40.740249, -73.986491"
34 ST-HERALD SQ,"40.749101, -73.988810"
34 ST-PENN STA,"40.751377, -73.989263"
42 ST-BRYANT PK,"40.755070, -73.984064"
42 ST-PORT AUTH,"40.757332, -73.990720"
47-50 STS ROCK,"40.758603, 73.981376"
5 AV/53 ST,"40.760419, -73.975489"
50 ST,"40.762283, -73.986283"
59 ST,"40.763051, -73.967541"
59 ST COLUMBUS,"40.768687, -73.981753"
7 AV,"40.763445, -73.981722"
72 ST,"40.768849, -73.957939"
72 ST-2 AVE,"40.768849, -73.957939"
86 ST,"40.777150, -73.952247"
96 ST,"40.796070, -73.971663"
ATL AV-BARCLAY,"40.683837, -73.978595"
BEDFORD AV,"40.718025, -73.957517"
CANAL ST,"40.721513, -74.001260"
CHAMBERS ST,"40.714516, -74.009595"
CHURCH AV,"40.650402, -73.963262"
CITY / BUS,"40.757512, -73.990746"
FLUSHING-MAIN,"40.759826, -73.829858"
FULTON ST,"40.709488, -74.008353"
GRD CNTRL-42 ST,"40.751172, -73.977037"
GROVE STREET,"40.719866, -74.042604"
JAMAICA CENTER,"40.702389, -73.800877"
JAY ST-METROTEC,"40.692495, -73.987204"
JKSN HT-ROOSVLT,"40.746853, -73.890687"
JOURNAL SQUARE,"40.732837, -74.062679"
JUNCTION BLVD,"40.749447, -73.869358"
KEW GARDENS,"40.714360, -73.829876"
LEXINGTON AV/53,"40.740655, -73.983996"
METS-WILLETS PT,"40.754850, -73.845632"
PATH NEW WTC,"40.712857, -74.009877"
TIMES SQ-42 ST,"40.754728, -73.986655"
W 4 ST-WASH SQ,"40.731384, -74.001242"
WALL ST,"40.706645, -74.009499"
